<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q161097>	Musa textilis
<http://www.wikidata.org/entity/Q192928>	Abadeh
<http://www.wikidata.org/entity/Q875>	Abakan
<http://www.wikidata.org/entity/Q64436>	Arc de Triomphe
<http://www.wikidata.org/entity/Q184719>	anthroposophy
<http://www.wikidata.org/entity/Q168903>	Bos primigenius
<http://www.wikidata.org/entity/Q497>	anus
<http://www.wikidata.org/entity/Q83162>	African National Congress
<http://www.wikidata.org/entity/Q179452>	amphetamine
<http://www.wikidata.org/entity/Q64418>	artillery
<http://www.wikidata.org/entity/Q154936>	Arnulf of Carinthia
<http://www.wikidata.org/entity/Q152783>	Alexanderplatz
<http://www.wikidata.org/entity/Q188822>	Asian Development Bank
<http://www.wikidata.org/entity/Q29888>	Aswan
<http://www.wikidata.org/entity/Q6437>	Airbus A300
<http://www.wikidata.org/entity/Q48211>	Alexander Kerensky
<http://www.wikidata.org/entity/Q215946>	Agent Orange
<http://www.wikidata.org/entity/Q109244>	Adam of Bremen
<http://www.wikidata.org/entity/Q26805>	ab urbe condita
<http://www.wikidata.org/entity/Q171251>	administrative law
<http://www.wikidata.org/entity/Q202177>	Angus
<http://www.wikidata.org/entity/Q16757>	Adrastea
<http://www.wikidata.org/entity/Q11354>	Apache HTTP Server
<http://www.wikidata.org/entity/Q4116214>	accounting
<http://www.wikidata.org/entity/Q7386>	Formicidae
<http://www.wikidata.org/entity/Q34603>	Abano Terme
<http://www.wikidata.org/entity/Q193345>	adware
<http://www.wikidata.org/entity/Q206187>	Aeacus
<http://www.wikidata.org/entity/Q109576>	Aegadian Islands
<http://www.wikidata.org/entity/Q192530>	Aegean civilizations
<http://www.wikidata.org/entity/Q191725>	Aegeus
<http://www.wikidata.org/entity/Q191082>	Aegina
<http://www.wikidata.org/entity/Q190662>	Aegis
<http://www.wikidata.org/entity/Q40104>	Ajaccio
<http://www.wikidata.org/entity/Q184427>	Ajanta Caves
<http://www.wikidata.org/entity/Q200049>	Ajmer
<http://www.wikidata.org/entity/Q166824>	Afyonkarahisar
<http://www.wikidata.org/entity/Q29000>	Abd ar-Rahman I
<http://www.wikidata.org/entity/Q190418>	Abd-ar-Rahman III
<http://www.wikidata.org/entity/Q151500>	Abdülaziz
<http://www.wikidata.org/entity/Q188615>	Abdera
<http://www.wikidata.org/entity/Q170707>	Abdul Hamid I
<http://www.wikidata.org/entity/Q31649>	Abdur Rahman Khan
<http://www.wikidata.org/entity/Q212525>	Aberration
<http://www.wikidata.org/entity/Q639>	optical aberration
<http://www.wikidata.org/entity/Q236713>	Aberdeen
<http://www.wikidata.org/entity/Q81130>	Anders Celsius
<http://www.wikidata.org/entity/Q5783>	Andalusia
<http://www.wikidata.org/entity/Q200130>	Azad Kashmir
<http://www.wikidata.org/entity/Q58705>	Arabian Sea
<http://www.wikidata.org/entity/Q182040>	aspartame
<http://www.wikidata.org/entity/Q83570>	AutoCAD
<http://www.wikidata.org/entity/Q173432>	asexual reproduction
<http://www.wikidata.org/entity/Q81406>	alkene
<http://www.wikidata.org/entity/Q159226>	alkyne
<http://www.wikidata.org/entity/Q136775>	AbiWord
<http://www.wikidata.org/entity/Q192093>	Anatomical Therapeutic Chemical Classification System
<http://www.wikidata.org/entity/Q230360>	Advanced Technology Attachment
<http://www.wikidata.org/entity/Q206261>	Atari 2600
<http://www.wikidata.org/entity/Q178498>	Ahimsa
<http://www.wikidata.org/entity/Q997>	Andrei Sakharov
<http://www.wikidata.org/entity/Q411>	astrobiology
<http://www.wikidata.org/entity/Q240581>	anthropic principle
<http://www.wikidata.org/entity/Q418096>	Akihabara
<http://www.wikidata.org/entity/Q8765>	Aragonese
<http://www.wikidata.org/entity/Q8424>	aerodynamics
<http://www.wikidata.org/entity/Q152079>	ash
<http://www.wikidata.org/entity/Q114326>	antiderivative
<http://www.wikidata.org/entity/Q237325>	Antigonid dynasty
<http://www.wikidata.org/entity/Q21080>	Afghan Hound
<http://www.wikidata.org/entity/Q161254>	angular momentum
<http://www.wikidata.org/entity/Q274116>	plum pudding model
<http://www.wikidata.org/entity/Q210553>	atomic theory
<http://www.wikidata.org/entity/Q36740>	Aung San Suu Kyi
<http://www.wikidata.org/entity/Q37038>	advertising
<http://www.wikidata.org/entity/Q312101>	Andrzej Sapkowski
<http://www.wikidata.org/entity/Q166046>	ammeter
<http://www.wikidata.org/entity/Q208144>	antipsychotic
<http://www.wikidata.org/entity/Q32520>	Augustine of Canterbury
<http://www.wikidata.org/entity/Q344266>	Active Server Pages
<http://www.wikidata.org/entity/Q201928>	amoxicillin
<http://www.wikidata.org/entity/Q103382>	amorphous solid
<http://www.wikidata.org/entity/Q39503>	Artemis
<http://www.wikidata.org/entity/Q220018>	Anaïs Nin
<http://www.wikidata.org/entity/Q1555938>	Antarctic
<http://www.wikidata.org/entity/Q179248>	Albanians
<http://www.wikidata.org/entity/Q165580>	Anabaptism
<http://www.wikidata.org/entity/Q60206>	Ariel Sharon
<http://www.wikidata.org/entity/Q317393>	Bubalus depressicornis
<http://www.wikidata.org/entity/Q485742>	alkali
<http://www.wikidata.org/entity/Q15326>	alcoholism
<http://www.wikidata.org/entity/Q673661>	abstraction
<http://www.wikidata.org/entity/Q181296>	abelian group
<http://www.wikidata.org/entity/Q28513>	Austria-Hungary
<http://www.wikidata.org/entity/Q205177>	Abracadabra
<http://www.wikidata.org/entity/Q193515>	Acts of Union 1707
<http://www.wikidata.org/entity/Q477415>	amputation
<http://www.wikidata.org/entity/Q175029>	anemometer
<http://www.wikidata.org/entity/Q100196>	Archaeopteryx compañia limitada
<http://www.wikidata.org/entity/Q216954>	`Abdu'l-Bahá
<http://www.wikidata.org/entity/Q47534>	Anubis
<http://www.wikidata.org/entity/Q191710>	Aleut people
<http://www.wikidata.org/entity/Q1314>	autumn
<http://www.wikidata.org/entity/Q490744>	Alameda
<http://www.wikidata.org/entity/Q193151>	Armageddon
<http://www.wikidata.org/entity/Q8493>	Amu Darya
<http://www.wikidata.org/entity/Q467627>	Durrani Empire
<http://www.wikidata.org/entity/Q12985>	Arcturus
<http://www.wikidata.org/entity/Q12166>	Antares
<http://www.wikidata.org/entity/Q12170>	Aldebaran
<http://www.wikidata.org/entity/Q12975>	Altair
<http://www.wikidata.org/entity/Q87>	Alexandria
<http://www.wikidata.org/entity/Q209929>	Alexandria
<http://www.wikidata.org/entity/Q208582>	Akira Toriyama
<http://www.wikidata.org/entity/Q179436>	asymptote
<http://www.wikidata.org/entity/Q92621>	Andrew S. Tanenbaum
<http://www.wikidata.org/entity/Q18532>	Ariane 5
<http://www.wikidata.org/entity/Q11205>	arithmetic
<http://www.wikidata.org/entity/Q181995>	Adolphe Sax
<http://www.wikidata.org/entity/Q23556>	Atlanta
<http://www.wikidata.org/entity/Q186531>	axiology
<http://www.wikidata.org/entity/Q2052>	ACF Fiorentina
<http://www.wikidata.org/entity/Q80048>	Al Capone
<http://www.wikidata.org/entity/Q44024>	Athanasius of Alexandria
<http://www.wikidata.org/entity/Q25263>	Azores
<http://www.wikidata.org/entity/Q14859>	Ansbach
<http://www.wikidata.org/entity/Q115457>	Arno
<http://www.wikidata.org/entity/Q485581>	Aveiro
<http://www.wikidata.org/entity/Q170547>	Anthony the Great
<http://www.wikidata.org/entity/Q51646>	Apostles' Creed
<http://www.wikidata.org/entity/Q117927>	amicable numbers
<http://www.wikidata.org/entity/Q177998>	agar
<http://www.wikidata.org/entity/Q40178>	acid rain
<http://www.wikidata.org/entity/Q133948>	antioxidant
<http://www.wikidata.org/entity/Q39782>	brass
<http://www.wikidata.org/entity/Q586>	Bonn
<http://www.wikidata.org/entity/Q220394>	The Birth of a Nation
<http://www.wikidata.org/entity/Q545>	Baltic Sea
<http://www.wikidata.org/entity/Q105533>	brackish water
<http://www.wikidata.org/entity/Q18426>	The Bronx
<http://www.wikidata.org/entity/Q31>	Belgium
<http://www.wikidata.org/entity/Q9759>	blues
<http://www.wikidata.org/entity/Q64>	Berlin
<http://www.wikidata.org/entity/Q1124>	Bill Clinton
<http://www.wikidata.org/entity/Q44>	beer
<http://www.wikidata.org/entity/Q8805>	bit
<http://www.wikidata.org/entity/Q8799>	byte
<http://www.wikidata.org/entity/Q569>	beryllium
<http://www.wikidata.org/entity/Q11975>	Britney Spears
<http://www.wikidata.org/entity/Q155>	Brazil
<http://www.wikidata.org/entity/Q4204>	Black Forest
<http://www.wikidata.org/entity/Q166>	Black Sea
<http://www.wikidata.org/entity/Q1845>	Bible
<http://www.wikidata.org/entity/Q1974>	British Columbia
<http://www.wikidata.org/entity/Q9441>	Gautama Buddha
<http://www.wikidata.org/entity/Q12280>	bridge
<http://www.wikidata.org/entity/Q131436>	board game
<http://www.wikidata.org/entity/Q188360>	Branchiopoda
<http://www.wikidata.org/entity/Q35802>	Baruch Spinoza
<http://www.wikidata.org/entity/Q203872>	being
<http://www.wikidata.org/entity/Q5113>	bird
<http://www.wikidata.org/entity/Q190911>	...Baby One More Time
<http://www.wikidata.org/entity/Q219>	Bulgaria
<http://www.wikidata.org/entity/Q148134>	Bryozoa
<http://www.wikidata.org/entity/Q189774>	biennial plant
<http://www.wikidata.org/entity/Q21904>	Brassicales
<http://www.wikidata.org/entity/Q11989>	Symphony No. 9
<http://www.wikidata.org/entity/Q170877>	bomber
<http://www.wikidata.org/entity/Q3341285>	cue sports
<http://www.wikidata.org/entity/Q40738>	Bursa
<http://www.wikidata.org/entity/Q778>	Bahamas
<http://www.wikidata.org/entity/Q46879>	Baker Island
<http://www.wikidata.org/entity/Q902>	Bangladesh
<http://www.wikidata.org/entity/Q244>	Barbados
<http://www.wikidata.org/entity/Q220601>	Bassas da India
<http://www.wikidata.org/entity/Q184>	Belarus
<http://www.wikidata.org/entity/Q242>	Belize
<http://www.wikidata.org/entity/Q962>	Benin
<http://www.wikidata.org/entity/Q23635>	Bermuda
<http://www.wikidata.org/entity/Q750>	Bolivia
<http://www.wikidata.org/entity/Q225>	Bosnia and Herzegovina
<http://www.wikidata.org/entity/Q963>	Botswana
<http://www.wikidata.org/entity/Q921>	Brunei
<http://www.wikidata.org/entity/Q25305>	British Virgin Islands
<http://www.wikidata.org/entity/Q965>	Burkina Faso
<http://www.wikidata.org/entity/Q35958>	Bosporus
<http://www.wikidata.org/entity/Q240>	Brussels-Capital Region
<http://www.wikidata.org/entity/Q217365>	Bell Labs
<http://www.wikidata.org/entity/Q92620>	Bjarne Stroustrup
<http://www.wikidata.org/entity/Q1073>	brain
<http://www.wikidata.org/entity/Q23725>	Byzantium
<http://www.wikidata.org/entity/Q5086>	Berlin Wall
<http://www.wikidata.org/entity/Q214039>	Beastie Boys
<http://www.wikidata.org/entity/Q38272>	British Isles
<http://www.wikidata.org/entity/Q8752>	Basque
<http://www.wikidata.org/entity/Q179682>	Björn Ulvaeus
<http://www.wikidata.org/entity/Q214582>	Benny Andersson
<http://www.wikidata.org/entity/Q39531>	Bluetooth
<http://www.wikidata.org/entity/Q156298>	Boney M.
<http://www.wikidata.org/entity/Q184843>	Blade Runner
<http://www.wikidata.org/entity/Q5284>	Bill Gates
<http://www.wikidata.org/entity/Q618>	boron
<http://www.wikidata.org/entity/Q879>	bromine
<http://www.wikidata.org/entity/Q1112>	barium
<http://www.wikidata.org/entity/Q1882>	berkelium
<http://www.wikidata.org/entity/Q102078>	bauxite
<http://www.wikidata.org/entity/Q980>	Bavaria
<http://www.wikidata.org/entity/Q1208>	Brandenburg
<http://www.wikidata.org/entity/Q154797>	Bundestag of Germany
<http://www.wikidata.org/entity/Q26678>	BMW
<http://www.wikidata.org/entity/Q769680>	Bornholm
<http://www.wikidata.org/entity/Q571>	book
<http://www.wikidata.org/entity/Q157246>	Bitola
<http://www.wikidata.org/entity/Q156888>	Brassicaceae
<http://www.wikidata.org/entity/Q124354>	Bauhaus
<http://www.wikidata.org/entity/Q48328>	Beowulf
<http://www.wikidata.org/entity/Q36268>	Brigitte Bardot
<http://www.wikidata.org/entity/Q258896>	banjo
<http://www.wikidata.org/entity/Q5369>	baseball
<http://www.wikidata.org/entity/Q152025>	Bernard Law Montgomery, 1st Viscount Montgomery of Alamein
<http://www.wikidata.org/entity/Q313093>	Herman Boerhaave
<http://www.wikidata.org/entity/Q82006>	Benjamin Disraeli
<http://www.wikidata.org/entity/Q185547>	binomial distribution
<http://www.wikidata.org/entity/Q214746>	biostatistics
<http://www.wikidata.org/entity/Q46185>	bass guitar
<http://www.wikidata.org/entity/Q5372>	basketball
<http://www.wikidata.org/entity/Q18545>	ball
<http://www.wikidata.org/entity/Q79894>	braille
<http://www.wikidata.org/entity/Q326724>	Bastille Day
<http://www.wikidata.org/entity/Q180907>	bijection
<http://www.wikidata.org/entity/Q164307>	binary operation
<http://www.wikidata.org/entity/Q8347>	bagpipes
<http://www.wikidata.org/entity/Q7094>	biochemistry
<http://www.wikidata.org/entity/Q7291>	badminton
<http://www.wikidata.org/entity/Q37853>	baroque
<http://www.wikidata.org/entity/Q249998>	Bandwidth (signal processing)
<http://www.wikidata.org/entity/Q178149>	bodhisattva
<http://www.wikidata.org/entity/Q42182>	Buckingham Palace
<http://www.wikidata.org/entity/Q8766>	British Airways
<http://www.wikidata.org/entity/Q11442>	bicycle
<http://www.wikidata.org/entity/Q459842>	Book of Mormon
<http://www.wikidata.org/entity/Q93191>	Baptists
<http://www.wikidata.org/entity/Q228044>	blackjack
<http://www.wikidata.org/entity/Q409202>	bicarbonate ion
<http://www.wikidata.org/entity/Q40435>	Buffalo
<http://www.wikidata.org/entity/Q34969>	Benjamin Franklin
<http://www.wikidata.org/entity/Q36184>	Bram Stoker
<http://www.wikidata.org/entity/Q188966>	contract bridge
<http://www.wikidata.org/entity/Q35872>	boat
<http://www.wikidata.org/entity/Q7873>	blood
<http://www.wikidata.org/entity/Q101740>	Benoit Mandelbrot
<http://www.wikidata.org/entity/Q44265>	Benedict of Nursia
<http://www.wikidata.org/entity/Q203681>	Battle of Pharsalus
<http://www.wikidata.org/entity/Q44810>	Bigfoot
<http://www.wikidata.org/entity/Q72984>	Bing Crosby
<http://www.wikidata.org/entity/Q42979>	BASIC
<http://www.wikidata.org/entity/Q128866>	list of Byzantine emperors
<http://www.wikidata.org/entity/Q187536>	butterfly effect
<http://www.wikidata.org/entity/Q102289>	Buckminster Fuller
<http://www.wikidata.org/entity/Q23445>	black
<http://www.wikidata.org/entity/Q154938>	Bede
<http://www.wikidata.org/entity/Q92608>	Brian Kernighan
<http://www.wikidata.org/entity/Q182531>	battleship
<http://www.wikidata.org/entity/Q131658>	Baldur
<http://www.wikidata.org/entity/Q199959>	Bragi
<http://www.wikidata.org/entity/Q1290>	Blaise Pascal
<http://www.wikidata.org/entity/Q156877>	Brythonic languages
<http://www.wikidata.org/entity/Q29182>	bishop
<http://www.wikidata.org/entity/Q1479>	Bordeaux
<http://www.wikidata.org/entity/Q265868>	bone
<http://www.wikidata.org/entity/Q191700>	benzoic acid
<http://www.wikidata.org/entity/Q1003183>	boiling point
<http://www.wikidata.org/entity/Q323>	Big Bang
<http://www.wikidata.org/entity/Q33146>	Bantu languages
<http://www.wikidata.org/entity/Q5638>	bus
<http://www.wikidata.org/entity/Q4648>	Bali
<http://www.wikidata.org/entity/Q7918>	Bulgarian
<http://www.wikidata.org/entity/Q49114>	Brown University
<http://www.wikidata.org/entity/Q33760>	Bertrand Russell
<http://www.wikidata.org/entity/Q6423>	Boeing 767
<http://www.wikidata.org/entity/Q34095>	bronze
<http://www.wikidata.org/entity/Q13116>	Benelux
<http://www.wikidata.org/entity/Q213812>	Babe Ruth
<http://www.wikidata.org/entity/Q16518>	barge
<http://www.wikidata.org/entity/Q7979>	British English
<http://www.wikidata.org/entity/Q178561>	battle
<http://www.wikidata.org/entity/Q441>	botany
<http://www.wikidata.org/entity/Q165028>	bacteriophage
<http://www.wikidata.org/entity/Q798309>	BCG vaccine
<http://www.wikidata.org/entity/Q25385>	Common buzzard
<http://www.wikidata.org/entity/Q1249>	bohrium
<http://www.wikidata.org/entity/Q14268>	Barnard's Star
<http://www.wikidata.org/entity/Q105616>	Bayer designation
<http://www.wikidata.org/entity/Q8667>	Boötes
<http://www.wikidata.org/entity/Q159998>	bassoon
<http://www.wikidata.org/entity/Q33136>	Baltic languages
<http://www.wikidata.org/entity/Q128570>	bioinformatics
<http://www.wikidata.org/entity/Q189526>	Brian De Palma
<http://www.wikidata.org/entity/Q171583>	Bobby Charlton
<http://www.wikidata.org/entity/Q471716>	Barry Lyndon
<http://www.wikidata.org/entity/Q7868>	cell
<http://www.wikidata.org/entity/Q484830>	barter
<http://www.wikidata.org/entity/Q105320>	Berthe Morisot
<http://www.wikidata.org/entity/Q131132>	Benedictines
<http://www.wikidata.org/entity/Q128358>	Bayezid I
<http://www.wikidata.org/entity/Q165983>	Bayezid II
<http://www.wikidata.org/entity/Q32112>	boxing
<http://www.wikidata.org/entity/Q93196>	Bollywood
<http://www.wikidata.org/entity/Q207577>	Barcelonnette
<http://www.wikidata.org/entity/Q22679>	Bahá'í Faith
<http://www.wikidata.org/entity/Q150412>	Burgundians
<http://www.wikidata.org/entity/Q243754>	binary search algorithm
<http://www.wikidata.org/entity/Q38789>	Battle of Stalingrad
<http://www.wikidata.org/entity/Q187172>	Bodhidharma
<http://www.wikidata.org/entity/Q145911>	base pair
<http://www.wikidata.org/entity/Q276539>	Baltimore Ravens
<http://www.wikidata.org/entity/Q35856>	baptism
<http://www.wikidata.org/entity/Q5776>	Bethlehem
<http://www.wikidata.org/entity/Q460763>	Benjamin
<http://www.wikidata.org/entity/Q47670>	Black Sabbath
<http://www.wikidata.org/entity/Q161953>	Books of Chronicles
<http://www.wikidata.org/entity/Q49019>	Blackadder
<http://www.wikidata.org/entity/Q11411>	backgammon
<http://www.wikidata.org/entity/Q47680>	Joshua
<http://www.wikidata.org/entity/Q131635>	Ezra
<http://www.wikidata.org/entity/Q80115>	Book of Daniel
<http://www.wikidata.org/entity/Q2695156>	Batman
<http://www.wikidata.org/entity/Q213959>	Boston Red Sox
<http://www.wikidata.org/entity/Q39193>	Bohemia
<http://www.wikidata.org/entity/Q48314>	Battle of Waterloo
<http://www.wikidata.org/entity/Q131536>	boomerang
<http://www.wikidata.org/entity/Q124100>	bodybuilding
<http://www.wikidata.org/entity/Q131640>	Nehemiah
<http://www.wikidata.org/entity/Q131590>	Jeremiah
<http://www.wikidata.org/entity/Q131458>	Isaiah
<http://www.wikidata.org/entity/Q21102>	beagle
<http://www.wikidata.org/entity/Q43099>	Numbers
<http://www.wikidata.org/entity/Q81240>	Judges
<http://www.wikidata.org/entity/Q181620>	Books of Samuel
<http://www.wikidata.org/entity/Q42040>	Revelation
<http://www.wikidata.org/entity/Q4224666>	Books of Kings
<http://www.wikidata.org/entity/Q80038>	Ruth
<http://www.wikidata.org/entity/Q131068>	Book of Esther
<http://www.wikidata.org/entity/Q4577>	Job
<http://www.wikidata.org/entity/Q4579>	Proverbs
<http://www.wikidata.org/entity/Q179058>	Lamentations
<http://www.wikidata.org/entity/Q178390>	Ezekiel
<http://www.wikidata.org/entity/Q19456>	Bristol City F.C.
<http://www.wikidata.org/entity/Q180285>	B-2 Spirit
<http://www.wikidata.org/entity/Q47542>	Castor
<http://www.wikidata.org/entity/Q11788>	Ursidaee
<http://www.wikidata.org/entity/Q127216>	bald eagle
<http://www.wikidata.org/entity/Q36341>	Ursus arctos
