<http://www.yso.fi/onto/yso/p27729>	culture jamming
<http://www.yso.fi/onto/yso/p37830>	smultronsläktet
<http://www.yso.fi/onto/yso/p23348>	vibrationsskada
<http://www.yso.fi/onto/yso/p23746>	militärläkare
<http://www.yso.fi/onto/yso/p3900>	avkomma
<http://www.yso.fi/onto/yso/p109055>	Hyrynsalmistråten
<http://www.yso.fi/onto/yso/p187195>	Apulien
<http://www.yso.fi/onto/yso/p187174>	Varistorna (Vanda)
<http://www.yso.fi/onto/yso/p5144>	spiritualism
<http://www.yso.fi/onto/yso/p18789>	köteori
<http://www.yso.fi/onto/yso/p28933>	munsjukdomar
<http://www.yso.fi/onto/yso/p10546>	hydrodynamik
<http://www.yso.fi/onto/yso/p26692>	adoptionslag (2012)
<http://www.yso.fi/onto/yso/p20648>	himlakroppar
<http://www.yso.fi/onto/yso/p29327>	litteratur på malayalam
<http://www.yso.fi/onto/yso/p7178>	Gröna Året 2000
<http://www.yso.fi/onto/yso/p219941>	Kinkomaa (Muurame)
<http://www.yso.fi/onto/yso/p162829>	Notholmen
<http://www.yso.fi/onto/yso/p2641>	hälsovård
<http://www.yso.fi/onto/yso/p12411>	beskogning
<http://www.yso.fi/onto/yso/p1106>	floravård
<http://www.yso.fi/onto/yso/p22052>	kolofoner
<http://www.yso.fi/onto/yso/p8559>	idrottsanläggningsmästare
<http://www.yso.fi/onto/yso/p110080>	Duisburg
<http://www.yso.fi/onto/yso/p5487>	ättika
<http://www.yso.fi/onto/yso/p686>	patriarker
<http://www.yso.fi/onto/yso/p8540>	rehabiliteringsinrättningar
<http://www.yso.fi/onto/yso/p28223>	representationslokaler
<http://www.yso.fi/onto/yso/p26939>	vetemjöl
<http://www.yso.fi/onto/yso/p3183>	mjältbrand
<http://www.yso.fi/onto/yso/p15984>	dumpning
<http://www.yso.fi/onto/yso/p16455>	allmän språkvetenskap
<http://www.yso.fi/onto/yso/p17124>	ömhet
<http://www.yso.fi/onto/yso/p6483>	Ventura
<http://www.yso.fi/onto/yso/p13520>	industripolitik
<http://www.yso.fi/onto/yso/p26191>	bretonska
<http://www.yso.fi/onto/yso/p19274>	skolfartyg
<http://www.yso.fi/onto/yso/p2429>	möbelindustri
<http://www.yso.fi/onto/yso/p22220>	narrativ forskning
<http://www.yso.fi/onto/yso/p5597>	konstfilosofi
<http://www.yso.fi/onto/yso/p3559>	DirectX
<http://www.yso.fi/onto/yso/p13089>	tallolja
<http://www.yso.fi/onto/yso/p14547>	släggkastare
<http://www.yso.fi/onto/yso/p18366>	lagfart
<http://www.yso.fi/onto/yso/p14163>	livsmedelsaffärer
<http://www.yso.fi/onto/yso/p18548>	vårdapparatur
<http://www.yso.fi/onto/yso/p180577>	Liusvaara (Ilomants)
<http://www.yso.fi/onto/yso/p2317>	fysiologi
<http://www.yso.fi/onto/yso/p15925>	missionsteologi
<http://www.yso.fi/onto/yso/p106578>	S:t Johannes
<http://www.yso.fi/onto/yso/p13455>	motkulturer
<http://www.yso.fi/onto/yso/p6567>	placering
<http://www.yso.fi/onto/yso/p5576>	husbehovsfiske
<http://www.yso.fi/onto/yso/p24912>	kupandmat
<http://www.yso.fi/onto/yso/p1129>	flexibel arbetstid
<http://www.yso.fi/onto/yso/p16630>	måttlighet
<http://www.yso.fi/onto/yso/p18897>	stödställningar
<http://www.yso.fi/onto/yso/p29504>	lågskotsk litteratur
<http://www.yso.fi/onto/yso/p8358>	fritidskläder
<http://www.yso.fi/onto/yso/p4040>	pessimism
<http://www.yso.fi/onto/yso/p26126>	hälsovårdsbranschen
<http://www.yso.fi/onto/yso/p14095>	konnexionism
<http://www.yso.fi/onto/yso/p196393>	Mattila (Vederlax)
<http://www.yso.fi/onto/yso/p9793>	störningar i känslolivet
<http://www.yso.fi/onto/yso/p18498>	navajo
<http://www.yso.fi/onto/yso/p28016>	internationella polaråret 2007-2009
<http://www.yso.fi/onto/yso/p37746>	krita (geologiska perioder)
<http://www.yso.fi/onto/yso/p14807>	hantverksmuseer
<http://www.yso.fi/onto/yso/p27911>	videobloggar
<http://www.yso.fi/onto/yso/p762>	Boolesk algebra
<http://www.yso.fi/onto/yso/p29455>	rymdteleskop
<http://www.yso.fi/onto/yso/p12939>	sampling (statistik)
<http://www.yso.fi/onto/yso/p24213>	Fack-Finlandia-priset
<http://www.yso.fi/onto/yso/p7842>	matartrafik
<http://www.yso.fi/onto/yso/p105552>	Västindien
<http://www.yso.fi/onto/yso/p105188>	Vanajavesi
<http://www.yso.fi/onto/yso/p20630>	skogsbröder
<http://www.yso.fi/onto/yso/p5607>	dalmatiner
<http://www.yso.fi/onto/yso/p226872>	Måsøy
<http://www.yso.fi/onto/yso/p110364>	Vuorenmaa (Kjulo)
<http://www.yso.fi/onto/yso/p10836>	kolloidkemi
<http://www.yso.fi/onto/yso/p13441>	miljöekonomi
<http://www.yso.fi/onto/yso/p24508>	foxterrier
<http://www.yso.fi/onto/yso/p23217>	lätta fyrhjulingar
<http://www.yso.fi/onto/yso/p16779>	komparation
<http://www.yso.fi/onto/yso/p21321>	lösöreinteckning
<http://www.yso.fi/onto/yso/p28550>	episk teater
<http://www.yso.fi/onto/yso/p11434>	bete (husdjursskötsel)
<http://www.yso.fi/onto/yso/p3030>	lagerarbetare
<http://www.yso.fi/onto/yso/p110021>	Niska (Vaala)
<http://www.yso.fi/onto/yso/p2451>	moderskapsledighet
<http://www.yso.fi/onto/yso/p25242>	utställningsarkitektur
<http://www.yso.fi/onto/yso/p29781>	tenorer (sångare)
<http://www.yso.fi/onto/yso/p37774>	neoproterozoikum
<http://www.yso.fi/onto/yso/p17116>	pulvereldning
<http://www.yso.fi/onto/yso/p21361>	Keuruu-Multia-laturetki
<http://www.yso.fi/onto/yso/p9680>	luftning
<http://www.yso.fi/onto/yso/p2388>	energikontroll
<http://www.yso.fi/onto/yso/p16673>	shaher
<http://www.yso.fi/onto/yso/p21144>	tjocklek
<http://www.yso.fi/onto/yso/p25944>	läkemedelsutbyte
<http://www.yso.fi/onto/yso/p19879>	Orffmetoden
<http://www.yso.fi/onto/yso/p15679>	klubbhus
<http://www.yso.fi/onto/yso/p18175>	tv-journalistik
<http://www.yso.fi/onto/yso/p160912>	Nellim (Enare)
<http://www.yso.fi/onto/yso/p13588>	lodjur
<http://www.yso.fi/onto/yso/p14315>	husdjursgårdar
<http://www.yso.fi/onto/yso/p107906>	Ala-Kääntä (Kalajoki)
<http://www.yso.fi/onto/yso/p24>	Rovaniemi kyrka
<http://www.yso.fi/onto/yso/p38096>	Ukrainakrisen
<http://www.yso.fi/onto/yso/p7761>	handelslärare
<http://www.yso.fi/onto/yso/p12156>	utbildningsbakgrund
<http://www.yso.fi/onto/yso/p4037>	produktionsdjur
<http://www.yso.fi/onto/yso/p25532>	körrutter
<http://www.yso.fi/onto/yso/p10960>	hallucinationer
<http://www.yso.fi/onto/yso/p7656>	militärflygare
<http://www.yso.fi/onto/yso/p21651>	produktionssystem
<http://www.yso.fi/onto/yso/p27068>	dokumentärteater
<http://www.yso.fi/onto/yso/p11289>	paradisfåglar
<http://www.yso.fi/onto/yso/p16307>	rondon
<http://www.yso.fi/onto/yso/p18799>	veterinärtjänst
<http://www.yso.fi/onto/yso/p115785>	Asunmaa (Alavo)
<http://www.yso.fi/onto/yso/p154028>	Ilvesjoki (Jalasjärvi)
<http://www.yso.fi/onto/yso/p19873>	editering
<http://www.yso.fi/onto/yso/p19701>	partitiv
<http://www.yso.fi/onto/yso/p23890>	ansträngning
<http://www.yso.fi/onto/yso/p159789>	Veitsjoki (Kirvus)
<http://www.yso.fi/onto/yso/p119735>	Kesvalahti (Lumivaara)
<http://www.yso.fi/onto/yso/p30175>	insektsekonomi
<http://www.yso.fi/onto/yso/p825>	bantning
<http://www.yso.fi/onto/yso/p1849>	insolvens
<http://www.yso.fi/onto/yso/p216066>	Kelviå å
<http://www.yso.fi/onto/yso/p24040>	fuktbeständighet
<http://www.yso.fi/onto/yso/p9915>	index (jämförelsetal)
<http://www.yso.fi/onto/yso/p24069>	registratorskontor
<http://www.yso.fi/onto/yso/p16294>	chansoner
<http://www.yso.fi/onto/yso/p26986>	studentpräster
<http://www.yso.fi/onto/yso/p3248>	arkivvård
<http://www.yso.fi/onto/yso/p112142>	Jatuni (Enontekis)
<http://www.yso.fi/onto/yso/p14485>	kristerapi
<http://www.yso.fi/onto/yso/p19530>	latinos
<http://www.yso.fi/onto/yso/p23978>	spektralanalys
<http://www.yso.fi/onto/yso/p38174>	fostringssamarbete
<http://www.yso.fi/onto/yso/p19738>	specialodlingsväxter
<http://www.yso.fi/onto/yso/p28327>	elrullstolar
<http://www.yso.fi/onto/yso/p215759>	Saarijärvi (Suomussalmi, Saarijärvi urskogsområde : sjö)
<http://www.yso.fi/onto/yso/p10269>	REM-sömn
<http://www.yso.fi/onto/yso/p22765>	tvådimensionalitet
<http://www.yso.fi/onto/yso/p166152>	Brittiska öarna
<http://www.yso.fi/onto/yso/p6005>	resonerande
<http://www.yso.fi/onto/yso/p16567>	lamm
<http://www.yso.fi/onto/yso/p21387>	ockuperade områden
<http://www.yso.fi/onto/yso/p9384>	ULPU-projektet
<http://www.yso.fi/onto/yso/p196470>	Hattelmala (Tavastehus)
<http://www.yso.fi/onto/yso/p23923>	reskontror
<http://www.yso.fi/onto/yso/p2486>	beteendemönster
<http://www.yso.fi/onto/yso/p18299>	nickelmalmer
<http://www.yso.fi/onto/yso/p17403>	wraps
<http://www.yso.fi/onto/yso/p10921>	hemförlossning
<http://www.yso.fi/onto/yso/p151882>	Gustavsvärn
<http://www.yso.fi/onto/yso/p30118>	concerto grosson
<http://www.yso.fi/onto/yso/p112489>	Paalijärvi (Alajärvi : sjö)
<http://www.yso.fi/onto/yso/p8065>	merier
<http://www.yso.fi/onto/yso/p17032>	familjeförberedelse
<http://www.yso.fi/onto/yso/p8284>	spillvärme
<http://www.yso.fi/onto/yso/p6876>	hastighetsåkning på skridskor
<http://www.yso.fi/onto/yso/p25429>	Prisma-gruppen
<http://www.yso.fi/onto/yso/p12022>	Nordiska konventionen om socialt bistånd och sociala tjänster
<http://www.yso.fi/onto/yso/p37992>	melodramer (dramer)
<http://www.yso.fi/onto/yso/p13990>	frostbeständighet
<http://www.yso.fi/onto/yso/p18285>	privattrafik
<http://www.yso.fi/onto/yso/p11200>	semesterpenning
<http://www.yso.fi/onto/yso/p25491>	Pattoin perintötalo
<http://www.yso.fi/onto/yso/p14581>	hälsovårdsläroinrättningar
<http://www.yso.fi/onto/yso/p9125>	kanslichefer
<http://www.yso.fi/onto/yso/p18297>	rytmisk sportgymnastik
<http://www.yso.fi/onto/yso/p24594>	troponiner
<http://www.yso.fi/onto/yso/p12966>	glasindustri
<http://www.yso.fi/onto/yso/p226728>	Nedertorneå (Sverige)
<http://www.yso.fi/onto/yso/p1842>	informationsrätt
<http://www.yso.fi/onto/yso/p3612>	tillväxtregulatorer
<http://www.yso.fi/onto/yso/p5095>	folklorister
<http://www.yso.fi/onto/yso/p6123>	hymnologi
<http://www.yso.fi/onto/yso/p122776>	Ihode (Pyhäranta)
<http://www.yso.fi/onto/yso/p26716>	Qvidja
<http://www.yso.fi/onto/yso/p8360>	privatundervisning
<http://www.yso.fi/onto/yso/p6925>	regioncentra
<http://www.yso.fi/onto/yso/p21515>	kanonisering
<http://www.yso.fi/onto/yso/p27793>	strukturellt socialt arbete
<http://www.yso.fi/onto/yso/p21814>	valmaskiner
<http://www.yso.fi/onto/yso/p4161>	arbetskraftstjänster
<http://www.yso.fi/onto/yso/p112650>	Kalmaa (Ikalis)
<http://www.yso.fi/onto/yso/p16080>	gastroenterologi
<http://www.yso.fi/onto/yso/p11790>	hjärndöd
<http://www.yso.fi/onto/yso/p109078>	Paalijärvi (Alajärvi : by)
<http://www.yso.fi/onto/yso/p24864>	dakryostenos
<http://www.yso.fi/onto/yso/p3019>	vetenskapsteori
<http://www.yso.fi/onto/yso/p106018>	Viekijärvi
<http://www.yso.fi/onto/yso/p11353>	pansarvärn
<http://www.yso.fi/onto/yso/p16101>	troll
<http://www.yso.fi/onto/yso/p11151>	spektrolit
<http://www.yso.fi/onto/yso/p27106>	energibrunnar
<http://www.yso.fi/onto/yso/p23713>	lag om samarbete inom finska företagsgrupper och grupper av gemenskapsföretag
<http://www.yso.fi/onto/yso/p10111>	tårtor
<http://www.yso.fi/onto/yso/p17712>	Luganokonventionen
<http://www.yso.fi/onto/yso/p8549>	växtskydd
<http://www.yso.fi/onto/yso/p453>	hälsopolitik
<http://www.yso.fi/onto/yso/p22606>	Saaris gård (Tammela)
<http://www.yso.fi/onto/yso/p11088>	europaparlamentariker
<http://www.yso.fi/onto/yso/p16694>	eteriska oljor
<http://www.yso.fi/onto/yso/p24258>	nödinkvartering
<http://www.yso.fi/onto/yso/p26981>	netsuker
<http://www.yso.fi/onto/yso/p26852>	ambivalens
<http://www.yso.fi/onto/yso/p14369>	derivering
<http://www.yso.fi/onto/yso/p23340>	precisionsorientering
<http://www.yso.fi/onto/yso/p27337>	sydamerikanska knivfiskar
<http://www.yso.fi/onto/yso/p16903>	squash
<http://www.yso.fi/onto/yso/p20724>	socialt disponentskap
<http://www.yso.fi/onto/yso/p18281>	lokala polisen
<http://www.yso.fi/onto/yso/p25481>	induktionshällar
<http://www.yso.fi/onto/yso/p5188>	sydamerikaner
<http://www.yso.fi/onto/yso/p109659>	Laanila (Uleåborg)
<http://www.yso.fi/onto/yso/p28251>	gruppundervisning
<http://www.yso.fi/onto/yso/p9326>	handels- och industriförvaltning
<http://www.yso.fi/onto/yso/p3581>	rättspsykologi
<http://www.yso.fi/onto/yso/p4440>	skräck
<http://www.yso.fi/onto/yso/p29948>	nonetter (ensembler)
<http://www.yso.fi/onto/yso/p1963>	idrottsevenemang
<http://www.yso.fi/onto/yso/p27303>	webbserier (tv-serier)
<http://www.yso.fi/onto/yso/p3563>	förlikningsförfarande
<http://www.yso.fi/onto/yso/p20262>	piercing
<http://www.yso.fi/onto/yso/p14525>	dressyrridning
<http://www.yso.fi/onto/yso/p21861>	synfältet
<http://www.yso.fi/onto/yso/p23482>	bergspass
<http://www.yso.fi/onto/yso/p2994>	nya arter
<http://www.yso.fi/onto/yso/p29961>	avancerad nivå
<http://www.yso.fi/onto/yso/p115082>	Porkalafjärden
<http://www.yso.fi/onto/yso/p8153>	skuldkänsla
<http://www.yso.fi/onto/yso/p22982>	Sankt Mikaels kyrka (Pälkäne)
<http://www.yso.fi/onto/yso/p28932>	mobilt lärande
<http://www.yso.fi/onto/yso/p111221>	Bechuanaland
<http://www.yso.fi/onto/yso/p9355>	utvecklande arbetsstudier
<http://www.yso.fi/onto/yso/p1295>	användargränssnitt
<http://www.yso.fi/onto/yso/p734>	undantagstillstånd
<http://www.yso.fi/onto/yso/p10502>	malörter
<http://www.yso.fi/onto/yso/p204790>	Juotasniemi (Rovaniemi)
<http://www.yso.fi/onto/yso/p2554>	penninghushållning
<http://www.yso.fi/onto/yso/p26172>	jakutiska
<http://www.yso.fi/onto/yso/p3489>	trubadurer
<http://www.yso.fi/onto/yso/p123424>	Lukonmäki (Tammerfors)
<http://www.yso.fi/onto/yso/p25742>	jussiv
<http://www.yso.fi/onto/yso/p9508>	stadsetnologi
<http://www.yso.fi/onto/yso/p22191>	elektronisk röstning
<http://www.yso.fi/onto/yso/p18572>	stavgång
<http://www.yso.fi/onto/yso/p15605>	syrafast stål
<http://www.yso.fi/onto/yso/p20971>	räddningsdykning
<http://www.yso.fi/onto/yso/p11811>	sållning
<http://www.yso.fi/onto/yso/p823>	fetma
<http://www.yso.fi/onto/yso/p23230>	systemkontroll
<http://www.yso.fi/onto/yso/p22210>	räddningsplaner
<http://www.yso.fi/onto/yso/p22589>	gerberor
<http://www.yso.fi/onto/yso/p22445>	pojkarbete
<http://www.yso.fi/onto/yso/p6644>	basindustri
<http://www.yso.fi/onto/yso/p9346>	barr
<http://www.yso.fi/onto/yso/p15131>	panflöjt
<http://www.yso.fi/onto/yso/p11067>	psykisk miljö
<http://www.yso.fi/onto/yso/p123452>	Munkshöjden (Helsingfors)
<http://www.yso.fi/onto/yso/p6997>	filmrecensioner
<http://www.yso.fi/onto/yso/p17496>	stötande hundar
<http://www.yso.fi/onto/yso/p14746>	gradbeteckningar
<http://www.yso.fi/onto/yso/p22369>	farledsavgifter
<http://www.yso.fi/onto/yso/p679>	kokospalm
<http://www.yso.fi/onto/yso/p17582>	filmterapi
<http://www.yso.fi/onto/yso/p105398>	Norra ishavet
<http://www.yso.fi/onto/yso/p107015>	Selänsyrjä (Kuorevesi)
<http://www.yso.fi/onto/yso/p997>	hemslöjd
<http://www.yso.fi/onto/yso/p27450>	hängsmycken
<http://www.yso.fi/onto/yso/p2154>	konsumtionsnyttigheter
<http://www.yso.fi/onto/yso/p106301>	Saariselkä
<http://www.yso.fi/onto/yso/p10265>	offrande
<http://www.yso.fi/onto/yso/p17789>	ekonomisk historia
<http://www.yso.fi/onto/yso/p210711>	Nousiala (Pielavesi)
<http://www.yso.fi/onto/yso/p19786>	Svidja slott
<http://www.yso.fi/onto/yso/p1006>	mervärde
<http://www.yso.fi/onto/yso/p23087>	pedagogisk planering
<http://www.yso.fi/onto/yso/p3109>	österländsk filosofi
<http://www.yso.fi/onto/yso/p27866>	malondialdehyd
<http://www.yso.fi/onto/yso/p14912>	fältmedicin
<http://www.yso.fi/onto/yso/p19485>	matematisk analys
<http://www.yso.fi/onto/yso/p14628>	densitet
<http://www.yso.fi/onto/yso/p22284>	djurläkemedel
<http://www.yso.fi/onto/yso/p196053>	Fuerteventura
<http://www.yso.fi/onto/yso/p146600>	Hatjalahti (Kuolemajärvi)
<http://www.yso.fi/onto/yso/p199839>	Joroisselkä
<http://www.yso.fi/onto/yso/p22913>	blodhund
<http://www.yso.fi/onto/yso/p9954>	skogstyper
<http://www.yso.fi/onto/yso/p25982>	naturvetenskaplig världsbild
<http://www.yso.fi/onto/yso/p21047>	mångsidig utvärdering
<http://www.yso.fi/onto/yso/p10638>	växlar (ekonomi)
<http://www.yso.fi/onto/yso/p7044>	trädgårdsvetenskap
<http://www.yso.fi/onto/yso/p5761>	ruderatväxter
<http://www.yso.fi/onto/yso/p8711>	postkolonialism
<http://www.yso.fi/onto/yso/p164560>	Jokiperä (Laihela)
<http://www.yso.fi/onto/yso/p8719>	betalningsorder
<http://www.yso.fi/onto/yso/p29780>	frasering
<http://www.yso.fi/onto/yso/p1791>	mårddjur
<http://www.yso.fi/onto/yso/p6675>	säkerhetsanordningar
<http://www.yso.fi/onto/yso/p23599>	Sippola gård
<http://www.yso.fi/onto/yso/p22304>	wikier
<http://www.yso.fi/onto/yso/p9141>	stämning (instrument)
<http://www.yso.fi/onto/yso/p15210>	grundundersökning
<http://www.yso.fi/onto/yso/p105269>	Cuba
<http://www.yso.fi/onto/yso/p30662>	oavlönat arbete
<http://www.yso.fi/onto/yso/p1672>	jordarter
<http://www.yso.fi/onto/yso/p27289>	hydraulisk spräckning
<http://www.yso.fi/onto/yso/p28257>	bakgrundsfaktorer
<http://www.yso.fi/onto/yso/p25133>	fritt broderi
<http://www.yso.fi/onto/yso/p155822>	Heidehof (Vanda)
<http://www.yso.fi/onto/yso/p20540>	tidningsskriveri
<http://www.yso.fi/onto/yso/p29156>	blandrashundar
<http://www.yso.fi/onto/yso/p106573>	Paanajärvi
<http://www.yso.fi/onto/yso/p10688>	bordtennis
<http://www.yso.fi/onto/yso/p5975>	civilprocess
<http://www.yso.fi/onto/yso/p23507>	lag om integritetsskydd i arbetslivet
<http://www.yso.fi/onto/yso/p7400>	sommargymnasier
<http://www.yso.fi/onto/yso/p173494>	Vallinkulma (Eura)
<http://www.yso.fi/onto/yso/p20466>	fiskindustri
<http://www.yso.fi/onto/yso/p107680>	Vanhakylä (Storå)
<http://www.yso.fi/onto/yso/p26425>	statlig styrning
<http://www.yso.fi/onto/yso/p119844>	Rauhajärvi (Kangasniemi)
<http://www.yso.fi/onto/yso/p38272>	noise
<http://www.yso.fi/onto/yso/p111920>	Naarva (Ilomants)
<http://www.yso.fi/onto/yso/p11388>	skolskräck
<http://www.yso.fi/onto/yso/p24404>	alfa-synuklein
<http://www.yso.fi/onto/yso/p14326>	nordamerikansk opossum
<http://www.yso.fi/onto/yso/p37764>	nervtillväxtfaktorer
<http://www.yso.fi/onto/yso/p23202>	laktosfri diet
<http://www.yso.fi/onto/yso/p115591>	Holmön (Umeå)
<http://www.yso.fi/onto/yso/p127974>	Skanderna
<http://www.yso.fi/onto/yso/p175557>	Lahnavalkama (Pyhäjärvi)
<http://www.yso.fi/onto/yso/p8867>	marinarkeologi
<http://www.yso.fi/onto/yso/p18256>	halvledare
<http://www.yso.fi/onto/yso/p29016>	elektroniska studentskrivningar
<http://www.yso.fi/onto/yso/p38193>	grenförbund
<http://www.yso.fi/onto/yso/p105300>	Sordavala
<http://www.yso.fi/onto/yso/p15469>	hallon
<http://www.yso.fi/onto/yso/p27947>	muddermossa
<http://www.yso.fi/onto/yso/p6453>	fuktighet
<http://www.yso.fi/onto/yso/p7288>	religiösa skådespel
<http://www.yso.fi/onto/yso/p12901>	geriatrisk teknologi
<http://www.yso.fi/onto/yso/p6920>	verksamhetsställen
<http://www.yso.fi/onto/yso/p22453>	hjärtstillestånd
<http://www.yso.fi/onto/yso/p9755>	hembygdsarbete
<http://www.yso.fi/onto/yso/p215980>	Tyris
<http://www.yso.fi/onto/yso/p3372>	sötsaksindustri
<http://www.yso.fi/onto/yso/p122466>	Riksväg 2
<http://www.yso.fi/onto/yso/p28807>	ingusj
<http://www.yso.fi/onto/yso/p2064>	elementarpartiklar
<http://www.yso.fi/onto/yso/p11407>	nyanalfabetism
<http://www.yso.fi/onto/yso/p20464>	brysselkål
<http://www.yso.fi/onto/yso/p109476>	Hämeenkoski
<http://www.yso.fi/onto/yso/p125922>	Aurejärvi
<http://www.yso.fi/onto/yso/p12130>	Viborgska smällen
<http://www.yso.fi/onto/yso/p12915>	folkhögskolor
<http://www.yso.fi/onto/yso/p29952>	rytmdiktat
<http://www.yso.fi/onto/yso/p24599>	rörelseidentifiering
<http://www.yso.fi/onto/yso/p10606>	valv
<http://www.yso.fi/onto/yso/p3973>	antiken
<http://www.yso.fi/onto/yso/p12635>	husbåtar
<http://www.yso.fi/onto/yso/p23858>	sjukförsäkringslag
<http://www.yso.fi/onto/yso/p18177>	HutCubix
<http://www.yso.fi/onto/yso/p107492>	Kaukola
<http://www.yso.fi/onto/yso/p26124>	blommande krukväxter
<http://www.yso.fi/onto/yso/p26169>	kulturell hållbarhet
<http://www.yso.fi/onto/yso/p8928>	förruttnelse
<http://www.yso.fi/onto/yso/p771>	madrigaler
<http://www.yso.fi/onto/yso/p18431>	tumlare
<http://www.yso.fi/onto/yso/p23724>	Ylistaro kyrka
<http://www.yso.fi/onto/yso/p169895>	Rudom (Lappträsk)
<http://www.yso.fi/onto/yso/p16969>	kognitionsvetenskap
<http://www.yso.fi/onto/yso/p210105>	Kolmisoppi (Siilinjärvi)
<http://www.yso.fi/onto/yso/p108417>	Medelhavet
<http://www.yso.fi/onto/yso/p6987>	turistfrämjande
<http://www.yso.fi/onto/yso/p26002>	prolaminer
<http://www.yso.fi/onto/yso/p17871>	wienklassicism
<http://www.yso.fi/onto/yso/p105341>	Luvia
<http://www.yso.fi/onto/yso/p1128>	månggifte
<http://www.yso.fi/onto/yso/p29939>	ars antiqua
<http://www.yso.fi/onto/yso/p196397>	Rysskär
<http://www.yso.fi/onto/yso/p13049>	flerlingsfamiljer
<http://www.yso.fi/onto/yso/p16796>	rådstuvurätter
<http://www.yso.fi/onto/yso/p1726>	tro
<http://www.yso.fi/onto/yso/p19282>	grodor
<http://www.yso.fi/onto/yso/p22820>	Gemensamt ansvar (insamling)
<http://www.yso.fi/onto/yso/p11320>	statens skogar
<http://www.yso.fi/onto/yso/p112094>	Karis landskommun
<http://www.yso.fi/onto/yso/p392>	behandlingsmetoder
<http://www.yso.fi/onto/yso/p26502>	spektrometrar
<http://www.yso.fi/onto/yso/p5732>	påfågelöga
<http://www.yso.fi/onto/yso/p94418>	Sotkamo
<http://www.yso.fi/onto/yso/p23046>	klassmedvetande
<http://www.yso.fi/onto/yso/p9527>	Paneuropeiska unionen
<http://www.yso.fi/onto/yso/p1991>	taxibilar
<http://www.yso.fi/onto/yso/p8008>	mordviner
<http://www.yso.fi/onto/yso/p9947>	konduktorer
<http://www.yso.fi/onto/yso/p1099>	banker
<http://www.yso.fi/onto/yso/p37914>	båtramper
<http://www.yso.fi/onto/yso/p24143>	katetrar
<http://www.yso.fi/onto/yso/p110277>	Sukeva (Sonkajärvi)
<http://www.yso.fi/onto/yso/p16686>	rododendronsläktet
<http://www.yso.fi/onto/yso/p7657>	furaner
<http://www.yso.fi/onto/yso/p20236>	tekniska tjänstemän
<http://www.yso.fi/onto/yso/p30092>	celesta
<http://www.yso.fi/onto/yso/p12405>	utrikespolitik
